
plant_id,common_name,latin_name,ecoregion,layer,succession_role,mature_height_m,canopy_spread_m,root_architecture,water_relationship,nitrogen_fixer,nitrogen_rate,guild_function_primary,guild_function_secondary,good_companions,conflict_plants,allelopathic_target,allelopathy_radius_m,fodder_cattle,fodder_sheep,fodder_goat,fodder_pig,fodder_chicken,fodder_duck,pollinator_type,pollinator_season,soil_ph_min,soil_ph_max,hardiness_zone_min,hardiness_zone_max,notes,attestation,source
ramps,Ramps,Allium tricoccum,Eastern forests,root,early,0.3,0.3,bulb,moist deciduous forests,no,,edible spring bulb,early spring green,sugar maple; basswood; bloodroot,none,,0,low,low,low,low,low,low,bees,early spring,5.0,7.0,3,7,Slow growing wild leek prized as early spring delicacy,SYNTHESIS,https://plants.usda.gov/
blue_camas,Blue Camas,Camassia quamash,Pacific Northwest meadows,root,mid,0.6,0.3,bulbous roots,moist meadows and vernal pools,no,,edible bulb and ornamental,early pollinator,shooting star; Idaho fescue; yarrow,none,,0,low,low,low,low,low,low,bees and butterflies,spring,5.5,7.0,3,8,Perennial bulb producing blue star flowers and edible bulbs,SYNTHESIS,https://plants.usda.gov/
bitterroot,Bitterroot,Lewisia rediviva,Rocky Mountains,root,mid,0.1,0.2,taproot,dry rocky soils,no,,edible root and ornamental,groundcover,sagebrush; blue grama; prickly pear,none,,0,low,low,low,low,low,low,bees and insects,summer,6.0,8.0,4,10,High altitude plant with showy flowers and edible taproot,SYNTHESIS,https://plants.usda.gov/
jerusalem_artichoke,Jerusalem Artichoke,Helianthus tuberosus,Various,root,early,3,1.5,tubers,fertile moist soils,no,,edible tuber and fodder,pollinator plant,clover; oats; fruit trees,sunflower sensitive plants,allelopathy,2,low,low,low,high,low,low,insects,late summer,5.5,7.5,4,9,Tall sunflower relative producing edible tubers and mild allelopathy,SYNTHESIS,https://plants.usda.gov/
black_cohosh,Black Cohosh,Actaea racemosa,Appalachian forests,root,mid,2,1,rhizome,moist rich forests,no,,medicinal root,shade plant,maple; hemlock; ferns,none,,0,low,low,low,low,low,low,insects,summer,5.0,6.5,4,8,Woodland herb used for gynecological medicine and pollinator support,SYNTHESIS,https://plants.usda.gov/
goldenseal,Goldenseal,Hydrastis canadensis,Eastern forests,root,mid,0.3,0.3,rhizome,moist well drained forests,no,,medicinal rhizome,groundcover,sugar maple; wild ginger; ginseng,none,,0,low,low,low,low,low,low,insects,spring,5.0,6.5,4,8,Understory herb valued for its yellow medicinal root,SYNTHESIS,https://plants.usda.gov/
prairie_turnip,Prairie Turnip,Psoralea esculenta,Great Plains,root,early,0.3,0.3,tuber and taproot,dry prairies,yes,low,nitrogen fixing edible tuber,groundcover,blue grama; lead plant; little bluestem,none,,0,low,low,low,low,low,low,insects,summer,6.0,8.0,4,8,Edible prairie tuber used by indigenous peoples,SYNTHESIS,https://plants.usda.gov/
wild_onion,Wild Onion,Allium canadense,Various,root,early,0.4,0.3,bulbous roots,moist open woods,no,,edible bulb and leaf,early pollinator,fruit trees; vegetables; herbs,none,,0,low,low,low,low,low,low,insects,early spring,5.5,7.0,3,8,Onion scented wild plant with edible bulbs and early flowers,SYNTHESIS,https://plants.usda.gov/
cattail,Cattail,Typha latifolia,North American wetlands,water,early,2,1,rhizome,aquatic and marshy soils,no,,wetland plant,food and habitat,sedges; rushes; pickerelweed,overcrowding,,0,medium,medium,medium,high,medium,medium,wind,later summer,5.5,7.0,3,10,Edible rhizomes and pollen; provides wildlife habitat in marshes,SYNTHESIS,https://plants.usda.gov/
pickerelweed,Pickerelweed,Pontederia cordata,Eastern wetlands,water,early,1,0.5,rhizome,aquatic shallow water,no,,pollinator aquatic plant,water purification,cattail; arrow arum; blue flag iris,none,,0,low,low,low,low,low,low,bees and butterflies,summer,5.5,7.0,4,10,Broad leafed aquatic with purple flower spikes attracting pollinators,SYNTHESIS,https://plants.usda.gov/
arrow_arum,Arrow Arum,Peltandra virginica,Eastern wetlands,water,mid,0.5,0.5,rhizome,aquatic swamp margins,no,,wetland plant,water filtration,pickerelweed; cattail; swamp rose,none,,0,low,low,low,low,low,low,insects,summer,5.5,7.0,5,10,Bog plant with arrow shaped leaves; all parts contain calcium oxalate,SYNTHESIS,https://plants.usda.gov/
swamp_rose,Swamp Rose,Rosa palustris,Eastern wetlands,water,mid,2,2,fibrous roots,wet meadows and marsh edges,no,,wetland rose,pollinator plant,buttonbush; blue flag iris; cardinal flower,none,,0,low,low,low,low,low,low,bees and insects,summer,5.0,7.5,4,9,Native wetland rose providing habitat and nectar,SYNTHESIS,https://plants.usda.gov/
cardinal_flower,Cardinal Flower,Lobelia cardinalis,Eastern wetlands,water,mid,1,0.5,fibrous roots,moist to wet soils,no,,pollinator plant,ornamental,blue flag iris; swamp rose; sedges,none,,0,low,low,low,low,low,low,hummingbirds,summer,5.5,7.0,3,9,Brilliant red flowers that attract hummingbirds in wet habitats,SYNTHESIS,https://plants.usda.gov/
blue_flag_iris,Blue Flag Iris,Iris versicolor,Eastern wetlands,water,mid,0.8,0.5,rhizome,wetlands and pond edges,no,,ornamental iris,pollinator plant,cattail; pickerelweed; swamp rose,none,,0,low,low,low,low,low,low,bees and butterflies,late spring,5.5,7.0,3,9,Showy blue purple iris thriving in wet soils, poisonous to livestock,SYNTHESIS,https://plants.usda.gov/
american_lotus,American Lotus,Nelumbo lutea,Eastern wetlands,water,mid,2,1.5,rhizome,aquatic ponds and lakes,no,,aquatic plant and food source,ornamental,water lilies; arrow arum; cattail,none,,0,low,low,low,low,low,low,insects,summer,5.0,7.5,4,10,Aquatic plant with floating leaves and edible seeds,SYNTHESIS,https://plants.usda.gov/
watercress,Watercress,Nasturtium officinale,Streams & springs,water,early,0.3,0.3,fibrous roots,aquatic and fast flowing water,no,,edible water herb,water purification,miner’s lettuce; cattail; sedges,none,,0,low,low,low,low,low,low,insects,early spring,6.5,7.5,4,9,Cold water herb with peppery leaves used as salad green,SYNTHESIS,https://plants.usda.gov/
softstem_bulrush,Softstem Bulrush,Schoenoplectus tabernaemontani,North American wetlands,water,mid,2.5,1,rhizome,aquatic and marshy soils,no,,wetland filtration plant,wildlife habitat,cattail; pickerelweed; sedges,none,,0,low,low,low,low,low,low,wind,summer,5.5,7.0,4,10,Tall bulrush used for water filtration and nesting habitat,SYNTHESIS,https://plants.usda.gov/
