activity,nadi,element,recommendation,knowledge_status,source_text,attestation_status
healing,sushumna,ether,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
remembrance_of_supreme,ida,earth,acceptable,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
remembrance_of_supreme,ida,water,acceptable,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
remembrance_of_supreme,ida,fire,avoid,SPECULATIVE,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,SPECULATIVE
remembrance_of_supreme,ida,air,avoid,SPECULATIVE,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,SPECULATIVE
remembrance_of_supreme,ida,ether,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
remembrance_of_supreme,pingala,earth,avoid,SPECULATIVE,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,SPECULATIVE
remembrance_of_supreme,pingala,water,avoid,SPECULATIVE,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,SPECULATIVE
remembrance_of_supreme,pingala,fire,avoid,SPECULATIVE,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,SPECULATIVE
remembrance_of_supreme,pingala,air,avoid,SPECULATIVE,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,SPECULATIVE
remembrance_of_supreme,pingala,ether,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
remembrance_of_supreme,sushumna,earth,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
remembrance_of_supreme,sushumna,water,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
remembrance_of_supreme,sushumna,fire,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
remembrance_of_supreme,sushumna,air,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
remembrance_of_supreme,sushumna,ether,strongly_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
